"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000157303.11","ENSG00000157303","yellow",0.18970674689146,0.0505159594518714,"SUSD3","protein_coding"
"ENSG00000132185.18","ENSG00000132185","purple",-0.507503471412521,-0.485803324751908,"FCRLA","protein_coding"
"ENSG00000243766.8","ENSG00000243766","salmon",-0.0123628270839688,-0.0950511028868284,"HOTTIP","lncRNA"
"ENSG00000176971.4","ENSG00000176971","magenta",-0.0248947632339926,-0.00389560902265625,"FIBIN","protein_coding"
"ENSG00000183091.19","ENSG00000183091","brown",0.105176465337463,0.257164220405631,"NEB","protein_coding"
"ENSG00000132970.14","ENSG00000132970","turquoise",-0.242262809606422,-0.199744492123552,"WASF3","protein_coding"
"ENSG00000160883.11","ENSG00000160883","blue",-0.0340094922421162,-0.0181284414967509,"HK3","protein_coding"
"ENSG00000106066.15","ENSG00000106066","blue",-0.285502540595358,-0.279257425223425,"CPVL","protein_coding"
"ENSG00000072163.20","ENSG00000072163","turquoise",-0.210506251027119,-0.421618732377383,"LIMS2","protein_coding"
"ENSG00000170271.11","ENSG00000170271","turquoise",-0.27291772240657,-0.40161297216582,"FAXDC2","protein_coding"
"ENSG00000254681.6","ENSG00000254681","grey",-0.0158900475155587,-0.022546380568965,"PKD1P5","transcribed_unprocessed_pseudogene"
"ENSG00000233999.3","ENSG00000233999","purple",-0.573159373488823,-0.559666494495821,"IGKV3OR2-268","IG_V_gene"
"ENSG00000227755.1","ENSG00000227755","grey",-0.042506392264206,-0.136541386746514,"AP000344.1","transcribed_processed_pseudogene"
"ENSG00000131015.5","ENSG00000131015","lightcyan",0.38854253986341,0.3944895358448,"ULBP2","protein_coding"
"ENSG00000203635.2","ENSG00000203635","lightgreen",0.0814560246365573,0.223872720075311,"AC144450.1","lncRNA"
"ENSG00000102547.19","ENSG00000102547","lightyellow",0.0252249777348629,-0.0967231685772073,"CAB39L","protein_coding"
"ENSG00000140937.14","ENSG00000140937","magenta",0.10918381240445,0.234913329044993,"CDH11","protein_coding"
"ENSG00000071205.12","ENSG00000071205","midnightblue",-0.280188836667129,-0.234105715556488,"ARHGAP10","protein_coding"
"ENSG00000198756.12","ENSG00000198756","midnightblue",-0.0673219627469636,-0.132816635346461,"COLGALT2","protein_coding"
"ENSG00000153993.13","ENSG00000153993","turquoise",-0.524651487568561,-0.467207788010369,"SEMA3D","protein_coding"
"ENSG00000273018.7","ENSG00000273018","turquoise",-0.236022149492197,-0.0843763298286732,"FAM106A","lncRNA"
"ENSG00000166136.16","ENSG00000166136","pink",0.151699749812679,0.0933351211959819,"NDUFB8","protein_coding"
"ENSG00000162998.5","ENSG00000162998","turquoise",-0.255729112149675,-0.288362219043962,"FRZB","protein_coding"
"ENSG00000176387.7","ENSG00000176387","greenyellow",-0.306042397783609,-0.527778468082103,"HSD11B2","protein_coding"
"ENSG00000260877.2","ENSG00000260877","grey",0.395522129573835,0.344317660421078,"AP005233.2","lncRNA"
"ENSG00000243449.6","ENSG00000243449","red",0.383162372334458,0.147940788412884,"C4orf48","protein_coding"
"ENSG00000105426.17","ENSG00000105426","turquoise",-0.206535077155069,-0.257894654523307,"PTPRS","protein_coding"
"ENSG00000118094.12","ENSG00000118094","salmon",-0.174194591577202,-0.30563759541497,"TREH","protein_coding"
"ENSG00000090661.12","ENSG00000090661","turquoise",-0.108247065493533,-0.236064555843882,"CERS4","protein_coding"
"ENSG00000157601.14","ENSG00000157601","darkgreen",-0.0144286977218786,-0.0240808903316177,"MX1","protein_coding"
"ENSG00000198934.5","ENSG00000198934","tan",-0.225821732419299,-0.265030019655347,"MAGEE1","protein_coding"
"ENSG00000173557.15","ENSG00000173557","royalblue",0.672701085114892,0.483606070856793,"FAM166C","protein_coding"
"ENSG00000110077.14","ENSG00000110077","blue",-0.446694642215219,-0.343049878687865,"MS4A6A","protein_coding"
"ENSG00000248635.1","ENSG00000248635","yellow",0.20445218119801,0.161557244949379,"AC147055.1","unprocessed_pseudogene"
"ENSG00000007402.12","ENSG00000007402","cyan",-0.15778582473761,-0.174234308930167,"CACNA2D2","protein_coding"
"ENSG00000253308.2","ENSG00000253308","grey",0.299341354010813,0.231367986771269,"AC004080.1","lncRNA"
"ENSG00000154654.15","ENSG00000154654","turquoise",-0.332565650616551,-0.272991374937218,"NCAM2","protein_coding"
"ENSG00000209082.1","ENSG00000209082","pink",0.139180745263293,0.0886327953975079,"MT-TL1","Mt_tRNA"
"ENSG00000235649.2","ENSG00000235649","black",0.0846006371361002,0.0478210994385379,"MXRA5Y","unprocessed_pseudogene"
"ENSG00000102934.10","ENSG00000102934","lightcyan",0.081847799788719,-0.00707507092464552,"PLLP","protein_coding"
"ENSG00000161970.15","ENSG00000161970","pink",0.237586861646641,0.21935300470011,"RPL26","protein_coding"
